Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,Major,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Pass_Fail
18.0,F,College,60000.0,B,93.0,Low,16.0,Medicine,Private,Medium,Medium,No,High,Low,Medium,Neutral,Low,59.0,Yes,6.0,Balanced,High,3.0,Yes,Negative,Yes,Yes,Kinesthetic,Yes,No,High,6.0,Medium,Fail
18.0,M,College,75000.0,A,80.0,Medium,12.0,Business,Public,Medium,High,No,High,Low,High,Negative,High,82.0,Yes,5.0,Balanced,High,8.0,Yes,Neutral,Yes,No,Visual,No,No,Low,3.0,Low,Pass
18.0,M,Some College,60000.0,A,91.0,High,6.0,Business,Public,High,Low,No,Medium,High,Medium,Positive,Medium,20.0,Yes,7.0,Balanced,Medium,9.0,No,Negative,No,Yes,Visual,Yes,Yes,Low,1.0,Low,Fail
22.0,F,Graduate,40000.0,A,85.0,Low,8.0,Medicine,Public,Low,High,Yes,Low,Medium,High,Negative,High,61.0,Yes,9.0,Balanced,High,4.0,No,Negative,Yes,Yes,Visual,Yes,Yes,High,5.0,High,Fail
20.0,M,High School,50000.0,B,96.0,High,12.0,Business,Private,High,High,Yes,High,Low,High,Neutral,Low,87.0,Yes,8.0,Healthy,High,4.0,Yes,Neutral,Yes,Yes,Kinesthetic,Yes,No,High,4.0,Low,Pass
18.0,F,High School,50000.0,A,99.0,Low,8.0,Business,Private,Low,Medium,Yes,High,Low,High,Negative,High,29.0,No,9.0,Unhealthy,Low,7.0,No,Neutral,Yes,Yes,Visual,No,Yes,High,3.0,High,Fail
21.0,F,Graduate,60000.0,C,81.0,Low,8.0,Medicine,Public,Low,Low,Yes,Medium,High,Low,Negative,High,33.0,No,8.0,Balanced,Medium,5.0,Yes,Negative,Yes,Yes,Kinesthetic,No,Yes,High,2.0,Low,Pass
18.0,F,Graduate,30000.0,B,77.0,Low,12.0,Business,Public,Medium,Medium,No,Medium,High,Medium,Neutral,High,35.0,No,5.0,Unhealthy,Medium,7.0,Yes,Neutral,No,No,Visual,No,Yes,High,3.0,Low,Fail
18.0,F,Graduate,40000.0,B,75.0,Medium,8.0,Medicine,Public,Medium,Medium,No,Medium,Medium,High,Neutral,Medium,27.0,Yes,9.0,Balanced,Low,7.0,No,Positive,Yes,Yes,Auditory,No,Yes,High,6.0,Low,Pass
22.0,F,College,75000.0,B,82.0,Medium,19.0,Arts,Private,High,High,Yes,High,Medium,Medium,Neutral,Medium,89.0,Yes,8.0,Unhealthy,High,5.0,Yes,Negative,Yes,No,Visual,Yes,Yes,High,3.0,Medium,Fail
21.0,M,High School,75000.0,B,74.0,Low,15.0,Science,Private,High,Low,Yes,High,High,High,Neutral,Low,61.0,Yes,6.0,Balanced,Medium,6.0,Yes,Neutral,No,Yes,Visual,Yes,No,Low,6.0,Low,Pass
22.0,F,Some College,60000.0,A,96.0,High,11.0,Law,Private,Low,Low,Yes,High,Medium,Low,Positive,Low,32.0,No,7.0,Balanced,Low,3.0,No,Negative,No,No,Kinesthetic,Yes,Yes,Medium,6.0,High,Pass
18.0,M,High School,40000.0,A,92.0,Low,12.0,Science,Public,Medium,High,Yes,High,Low,Medium,Neutral,Medium,44.0,Yes,4.0,Healthy,High,5.0,No,Positive,Yes,Yes,Visual,Yes,No,Low,2.0,High,Pass
19.0,M,High School,30000.0,A,84.0,Low,15.0,Engineering,Public,Low,Low,No,Low,Medium,Low,Neutral,Medium,21.0,No,5.0,Unhealthy,Medium,9.0,Yes,Negative,Yes,Yes,Auditory,Yes,No,High,3.0,Low,Pass
20.0,F,Some College,60000.0,B,97.0,Medium,13.0,Business,Public,Medium,High,Yes,Low,High,Low,Neutral,Low,37.0,Yes,5.0,Balanced,Low,9.0,No,Neutral,Yes,Yes,Auditory,Yes,Yes,High,4.0,Low,Fail
20.0,M,Some College,75000.0,C,70.0,High,5.0,Engineering,Public,High,High,No,Low,Medium,Medium,Neutral,Low,25.0,No,6.0,Unhealthy,Low,10.0,Yes,Positive,No,Yes,Auditory,Yes,No,High,5.0,Low,Fail
20.0,M,High School,40000.0,A,85.0,Medium,11.0,Business,Public,Low,Low,No,Medium,High,High,Negative,Medium,65.0,Yes,7.0,Balanced,Low,9.0,No,Negative,No,No,Auditory,Yes,No,High,6.0,Medium,Fail
19.0,F,College,30000.0,A,98.0,Low,12.0,Business,Private,High,Medium,No,High,Medium,Low,Neutral,High,67.0,Yes,7.0,Balanced,Medium,2.0,Yes,Negative,No,Yes,Visual,Yes,Yes,Low,1.0,High,Pass
18.0,F,Graduate,60000.0,B,85.0,Medium,6.0,Law,Private,High,High,Yes,High,High,Low,Negative,Low,63.0,Yes,9.0,Healthy,High,7.0,Yes,Negative,No,No,Visual,No,Yes,Medium,3.0,Medium,Pass
20.0,M,Graduate,50000.0,B,91.0,Medium,13.0,Medicine,Public,High,High,No,High,Medium,Low,Neutral,High,48.0,Yes,7.0,Unhealthy,Low,8.0,Yes,Neutral,No,No,Kinesthetic,No,Yes,Low,2.0,Low,Pass
22.0,F,High School,60000.0,B,70.0,High,9.0,Engineering,Public,High,Low,No,High,Low,Medium,Neutral,High,53.0,No,9.0,Unhealthy,Medium,5.0,No,Neutral,Yes,No,Auditory,Yes,Yes,Low,1.0,Medium,Fail
21.0,F,Some College,50000.0,B,93.0,Medium,13.0,Science,Public,Medium,High,No,Low,Medium,Low,Neutral,High,67.0,No,7.0,Healthy,Medium,6.0,Yes,Neutral,No,No,Auditory,Yes,Yes,Low,4.0,Medium,Pass
19.0,F,Some College,60000.0,A,93.0,Medium,16.0,Business,Public,Low,Low,Yes,Medium,Low,High,Negative,Medium,93.0,No,6.0,Balanced,Medium,3.0,No,Positive,No,Yes,Auditory,No,No,High,5.0,High,Fail
19.0,F,Graduate,30000.0,C,84.0,Low,8.0,Arts,Public,Medium,High,Yes,Low,Medium,Medium,Positive,Medium,67.0,No,8.0,Balanced,Medium,4.0,No,Negative,Yes,Yes,Auditory,No,No,High,4.0,High,Pass
22.0,F,Some College,50000.0,A,85.0,High,19.0,Engineering,Public,Low,High,No,High,Low,Low,Neutral,Medium,39.0,No,8.0,Balanced,Medium,5.0,No,Neutral,Yes,Yes,Visual,Yes,Yes,High,1.0,Medium,Fail
19.0,F,Graduate,40000.0,C,73.0,Medium,7.0,Business,Private,Low,Medium,No,High,Medium,Medium,Positive,High,94.0,No,8.0,Balanced,Low,6.0,Yes,Negative,No,No,Auditory,Yes,Yes,Low,3.0,High,Fail
19.0,M,Graduate,40000.0,C,99.0,Low,10.0,Law,Public,High,Medium,Yes,High,Low,Low,Positive,Low,97.0,Yes,4.0,Unhealthy,High,4.0,Yes,Negative,Yes,Yes,Visual,Yes,No,High,4.0,Low,Fail
20.0,F,College,50000.0,A,78.0,Low,18.0,Business,Public,Low,High,Yes,Low,High,High,Positive,High,39.0,Yes,9.0,Healthy,Medium,2.0,No,Neutral,No,Yes,Visual,No,No,High,4.0,Medium,Pass
20.0,M,Some College,50000.0,C,76.0,Low,17.0,Engineering,Private,Medium,High,No,Medium,Medium,Medium,Negative,Medium,61.0,No,6.0,Balanced,Medium,6.0,No,Neutral,Yes,Yes,Visual,No,No,High,1.0,High,Pass
20.0,M,Some College,40000.0,B,79.0,High,12.0,Medicine,Private,Low,High,Yes,Medium,High,High,Positive,Low,93.0,Yes,9.0,Balanced,Low,10.0,Yes,Neutral,No,Yes,Visual,Yes,No,High,6.0,Medium,Pass
21.0,F,College,60000.0,B,91.0,Low,16.0,Business,Public,High,High,No,Low,Low,Low,Positive,High,61.0,Yes,6.0,Balanced,Low,5.0,No,Negative,Yes,Yes,Auditory,Yes,No,Medium,6.0,Medium,Fail
20.0,F,College,75000.0,C,91.0,Medium,17.0,Medicine,Public,Low,Low,No,Medium,Medium,Medium,Negative,Medium,58.0,No,7.0,Unhealthy,High,9.0,No,Negative,Yes,Yes,Auditory,Yes,Yes,Low,2.0,High,Pass
21.0,F,Graduate,30000.0,B,91.0,High,13.0,Science,Public,Low,High,Yes,High,Medium,Low,Negative,Low,80.0,Yes,9.0,Healthy,Medium,9.0,Yes,Negative,No,Yes,Kinesthetic,Yes,Yes,High,6.0,High,Fail
22.0,M,College,50000.0,A,95.0,Low,9.0,Business,Private,Medium,High,Yes,Low,High,Low,Neutral,Medium,46.0,Yes,5.0,Unhealthy,High,4.0,No,Positive,Yes,No,Auditory,Yes,Yes,High,1.0,High,Pass
20.0,M,Some College,30000.0,C,89.0,Low,12.0,Arts,Public,Medium,Medium,Yes,High,Low,Low,Positive,Medium,22.0,No,7.0,Unhealthy,Low,8.0,No,Neutral,Yes,Yes,Auditory,No,Yes,High,6.0,Medium,Pass
22.0,F,High School,40000.0,C,85.0,Medium,5.0,Business,Private,High,Low,Yes,Low,Low,Medium,Positive,Medium,45.0,No,4.0,Balanced,Low,10.0,No,Negative,No,No,Visual,Yes,Yes,Low,4.0,Low,Fail
20.0,F,Some College,60000.0,A,78.0,High,7.0,Science,Public,High,High,No,Low,High,Low,Positive,Low,61.0,Yes,8.0,Healthy,High,6.0,Yes,Negative,Yes,No,Visual,No,Yes,Low,6.0,High,Fail
20.0,M,Graduate,60000.0,B,72.0,High,20.0,Law,Private,Medium,Low,Yes,High,Medium,Low,Negative,Low,89.0,Yes,4.0,Healthy,High,3.0,Yes,Negative,Yes,Yes,Kinesthetic,Yes,Yes,Low,4.0,Low,Fail
19.0,F,Some College,30000.0,A,95.0,Medium,8.0,Law,Public,Low,Medium,Yes,Low,Low,Low,Neutral,High,46.0,No,4.0,Unhealthy,Low,7.0,Yes,Positive,Yes,Yes,Auditory,No,Yes,High,1.0,Low,Pass
20.0,F,Some College,75000.0,B,81.0,Medium,10.0,Business,Public,High,High,Yes,Low,High,High,Positive,Low,43.0,No,5.0,Balanced,Medium,7.0,No,Negative,Yes,No,Visual,Yes,Yes,Low,3.0,Low,Pass
20.0,F,College,40000.0,A,85.0,Low,20.0,Science,Public,High,Medium,Yes,High,Medium,Low,Neutral,Medium,74.0,No,6.0,Healthy,Medium,6.0,Yes,Negative,No,Yes,Visual,No,No,High,3.0,Low,Fail
20.0,F,Some College,75000.0,C,97.0,Medium,18.0,Science,Private,Medium,Low,No,Medium,Low,Low,Positive,Low,72.0,No,4.0,Healthy,High,5.0,Yes,Negative,No,Yes,Auditory,Yes,No,Medium,4.0,High,Fail
20.0,M,High School,40000.0,A,77.0,High,6.0,Engineering,Public,High,Medium,No,High,Medium,Medium,Negative,Low,44.0,No,6.0,Unhealthy,Medium,4.0,Yes,Neutral,Yes,Yes,Kinesthetic,No,No,Low,5.0,High,Pass
20.0,M,Some College,75000.0,A,82.0,Low,12.0,Engineering,Public,Low,High,No,Low,Medium,High,Negative,Medium,40.0,No,8.0,Healthy,High,10.0,Yes,Negative,No,No,Visual,Yes,No,High,6.0,Low,Pass
22.0,F,Some College,30000.0,A,89.0,Low,10.0,Science,Private,Medium,Medium,Yes,High,Low,High,Positive,Low,91.0,Yes,7.0,Balanced,Low,9.0,Yes,Positive,No,No,Kinesthetic,No,No,Low,3.0,Low,Pass
22.0,M,Some College,40000.0,C,85.0,Medium,14.0,Arts,Private,High,High,No,High,High,High,Positive,Low,95.0,Yes,7.0,Balanced,Low,10.0,Yes,Neutral,No,No,Auditory,No,Yes,Low,6.0,High,Pass
22.0,M,High School,30000.0,B,85.0,Low,14.0,Science,Public,Low,High,Yes,High,Medium,Medium,Negative,Low,82.0,Yes,9.0,Healthy,Medium,6.0,No,Positive,No,Yes,Kinesthetic,No,Yes,High,4.0,High,Pass
20.0,F,Some College,30000.0,A,89.0,High,10.0,Medicine,Public,High,Low,Yes,Low,Low,Low,Neutral,Low,60.0,No,5.0,Healthy,Medium,4.0,Yes,Positive,No,Yes,Visual,Yes,Yes,Low,6.0,Medium,Pass
22.0,F,Some College,60000.0,C,90.0,Low,8.0,Law,Private,High,Medium,Yes,High,Medium,High,Negative,Medium,98.0,No,5.0,Balanced,Low,9.0,Yes,Neutral,No,Yes,Visual,No,No,Low,3.0,High,Pass
21.0,F,Graduate,30000.0,A,74.0,Low,17.0,Medicine,Public,Medium,Medium,No,Medium,High,High,Neutral,Low,47.0,No,5.0,Balanced,Low,7.0,Yes,Neutral,No,Yes,Visual,No,Yes,High,2.0,Low,Pass
21.0,F,High School,50000.0,A,85.0,Low,14.0,Arts,Public,High,High,Yes,High,Low,Medium,Negative,Low,35.0,Yes,7.0,Unhealthy,Medium,3.0,Yes,Positive,Yes,No,Kinesthetic,Yes,No,Low,3.0,Low,Pass
21.0,F,College,30000.0,B,78.0,High,19.0,Medicine,Public,Low,Medium,Yes,Medium,Low,High,Neutral,High,32.0,No,8.0,Healthy,High,5.0,No,Negative,Yes,No,Auditory,Yes,Yes,Low,6.0,Medium,Pass
18.0,F,Graduate,50000.0,C,85.0,Medium,11.0,Medicine,Private,High,Low,No,Low,Low,High,Positive,Low,20.0,Yes,8.0,Balanced,Medium,8.0,No,Negative,Yes,No,Kinesthetic,No,Yes,High,5.0,High,Pass
20.0,F,High School,30000.0,B,91.0,High,18.0,Business,Private,Medium,High,No,Low,Low,Low,Positive,Low,61.0,Yes,7.0,Unhealthy,Low,5.0,No,Positive,No,Yes,Kinesthetic,No,Yes,Low,1.0,Medium,Pass
20.0,F,College,50000.0,A,78.0,Low,9.0,Business,Private,High,High,No,Medium,Medium,Medium,Positive,Medium,61.0,Yes,7.0,Healthy,High,5.0,No,Negative,No,Yes,Visual,No,No,High,3.0,High,Pass
21.0,F,High School,40000.0,A,80.0,Medium,6.0,Law,Private,High,High,Yes,High,Low,Low,Positive,Medium,88.0,No,7.0,Healthy,Medium,3.0,No,Neutral,No,No,Visual,Yes,Yes,High,5.0,Medium,Pass
20.0,M,College,75000.0,A,79.0,High,19.0,Arts,Private,High,Medium,Yes,Low,High,High,Negative,Medium,64.0,Yes,9.0,Unhealthy,Medium,6.0,Yes,Negative,Yes,Yes,Visual,No,Yes,High,6.0,Low,Pass
22.0,M,College,75000.0,C,79.0,Low,11.0,Business,Private,Low,Medium,No,High,Medium,Low,Neutral,Low,56.0,No,9.0,Healthy,Low,6.0,Yes,Negative,No,No,Auditory,No,Yes,Medium,6.0,Medium,Fail
21.0,M,High School,40000.0,B,75.0,High,9.0,Business,Private,Low,High,No,Low,High,Low,Neutral,Low,43.0,Yes,7.0,Unhealthy,Low,10.0,Yes,Neutral,Yes,No,Visual,Yes,Yes,Medium,3.0,Medium,Pass
21.0,M,High School,60000.0,C,85.0,Low,7.0,Arts,Public,Low,Low,No,High,Low,Low,Neutral,High,30.0,Yes,8.0,Balanced,High,6.0,Yes,Positive,Yes,No,Kinesthetic,Yes,Yes,Low,3.0,Medium,Pass
19.0,M,College,60000.0,C,74.0,Low,10.0,Science,Public,Low,High,Yes,Low,Low,Low,Positive,High,29.0,No,7.0,Unhealthy,Medium,10.0,Yes,Positive,Yes,No,Auditory,No,Yes,High,6.0,High,Fail
22.0,F,High School,40000.0,B,74.0,Medium,20.0,Arts,Public,Medium,Medium,Yes,High,Low,Low,Negative,Low,71.0,No,8.0,Balanced,Low,8.0,Yes,Positive,No,Yes,Visual,No,No,Low,2.0,Medium,Pass
21.0,M,Some College,30000.0,B,85.0,Low,12.0,Medicine,Private,Low,Medium,No,Low,High,Low,Neutral,Low,67.0,No,9.0,Balanced,Medium,7.0,No,Positive,Yes,Yes,Visual,No,No,Medium,1.0,Medium,Pass
22.0,M,College,75000.0,C,74.0,Low,14.0,Medicine,Public,Low,Low,Yes,High,High,Low,Positive,Low,78.0,No,7.0,Balanced,Low,7.0,No,Positive,Yes,Yes,Auditory,No,Yes,Low,4.0,Low,Pass
20.0,M,Some College,30000.0,B,87.0,Medium,16.0,Arts,Public,Medium,Medium,Yes,High,Medium,Medium,Negative,Low,90.0,Yes,5.0,Balanced,High,2.0,No,Positive,No,Yes,Kinesthetic,Yes,Yes,High,3.0,Medium,Pass
22.0,F,High School,40000.0,A,97.0,High,14.0,Law,Public,Medium,High,Yes,Low,Low,Low,Neutral,Low,50.0,Yes,9.0,Balanced,High,2.0,Yes,Positive,Yes,No,Auditory,Yes,Yes,High,6.0,Medium,Pass
18.0,M,High School,30000.0,C,79.0,High,16.0,Business,Public,Low,High,Yes,Low,Low,Low,Positive,Low,61.0,No,8.0,Balanced,Medium,8.0,Yes,Negative,Yes,Yes,Auditory,Yes,No,Medium,1.0,Medium,Pass
22.0,F,Some College,75000.0,B,81.0,Low,17.0,Science,Public,High,Medium,No,High,Low,Medium,Negative,Low,96.0,Yes,6.0,Unhealthy,Low,6.0,Yes,Negative,Yes,No,Auditory,No,No,Medium,1.0,Low,Pass
19.0,F,Graduate,75000.0,C,85.0,Low,18.0,Medicine,Private,Medium,Low,Yes,Medium,Medium,Low,Negative,Medium,74.0,No,4.0,Balanced,High,9.0,Yes,Positive,Yes,Yes,Kinesthetic,Yes,Yes,Low,3.0,High,Pass
19.0,F,Some College,60000.0,A,79.0,High,17.0,Science,Private,Low,High,Yes,High,High,High,Positive,Low,67.0,No,6.0,Unhealthy,Medium,3.0,No,Neutral,Yes,No,Visual,Yes,Yes,Medium,6.0,Medium,Pass
20.0,F,Some College,60000.0,C,85.0,Low,17.0,Science,Public,Medium,High,No,High,Medium,Medium,Positive,Medium,78.0,No,9.0,Unhealthy,High,2.0,Yes,Positive,Yes,Yes,Auditory,No,No,High,6.0,Low,Pass
21.0,M,Some College,60000.0,B,73.0,Low,16.0,Business,Private,Low,High,Yes,Low,Medium,High,Negative,Low,70.0,Yes,6.0,Healthy,Low,6.0,Yes,Negative,No,No,Kinesthetic,Yes,No,High,5.0,Medium,Pass
22.0,M,College,75000.0,A,76.0,High,14.0,Business,Public,Medium,High,Yes,High,High,Medium,Negative,Medium,100.0,No,9.0,Balanced,Medium,10.0,No,Positive,Yes,No,Kinesthetic,Yes,No,Medium,6.0,High,Pass
20.0,M,College,30000.0,B,94.0,Low,9.0,Medicine,Public,Low,Low,Yes,High,High,Medium,Neutral,Low,67.0,No,9.0,Unhealthy,High,6.0,No,Positive,No,Yes,Visual,Yes,No,Medium,2.0,Low,Fail
19.0,F,Some College,60000.0,B,85.0,Medium,10.0,Business,Public,High,Medium,Yes,Medium,Medium,Medium,Negative,Medium,27.0,No,8.0,Balanced,High,2.0,No,Neutral,No,No,Kinesthetic,Yes,Yes,High,5.0,Low,Pass
21.0,F,High School,30000.0,C,72.0,Medium,7.0,Business,Private,High,Low,No,Low,Medium,Medium,Positive,High,48.0,Yes,7.0,Healthy,Low,6.0,Yes,Neutral,No,Yes,Auditory,No,Yes,High,6.0,Medium,Pass
20.0,F,Graduate,75000.0,C,71.0,Medium,5.0,Business,Private,High,High,Yes,High,High,Low,Positive,Low,42.0,Yes,4.0,Unhealthy,High,7.0,No,Neutral,No,No,Kinesthetic,No,Yes,Medium,4.0,Medium,Pass
19.0,M,High School,50000.0,C,81.0,Low,12.0,Law,Private,Medium,Medium,Yes,Low,Low,Low,Negative,High,89.0,No,7.0,Balanced,High,4.0,Yes,Positive,Yes,Yes,Kinesthetic,No,Yes,Low,3.0,High,Pass
20.0,M,High School,30000.0,B,83.0,Medium,8.0,Law,Public,Low,High,No,High,Medium,Medium,Neutral,High,48.0,Yes,7.0,Balanced,High,6.0,Yes,Neutral,Yes,No,Visual,No,Yes,High,3.0,High,Fail
20.0,F,College,60000.0,B,72.0,High,5.0,Engineering,Private,Medium,Low,Yes,Low,Medium,Low,Positive,High,45.0,No,6.0,Unhealthy,High,4.0,Yes,Negative,No,Yes,Kinesthetic,Yes,Yes,Low,5.0,Low,Pass
21.0,F,High School,60000.0,A,78.0,High,12.0,Business,Public,High,High,No,Medium,High,Medium,Negative,Low,61.0,Yes,8.0,Healthy,Medium,6.0,No,Positive,Yes,Yes,Auditory,No,No,High,1.0,High,Pass
20.0,M,Some College,40000.0,B,97.0,Medium,14.0,Business,Private,Medium,Medium,No,High,Low,Medium,Negative,Low,93.0,No,8.0,Healthy,Medium,6.0,Yes,Negative,No,No,Visual,Yes,No,Low,4.0,Low,Fail
21.0,M,Some College,40000.0,C,88.0,Low,9.0,Science,Public,Medium,Low,No,Medium,Low,High,Negative,Low,61.0,Yes,4.0,Balanced,Low,4.0,Yes,Neutral,Yes,Yes,Auditory,Yes,No,High,6.0,Medium,Fail
18.0,F,Graduate,60000.0,B,70.0,High,14.0,Science,Public,High,High,No,High,Medium,Low,Negative,Low,72.0,Yes,9.0,Balanced,High,7.0,Yes,Negative,No,Yes,Visual,Yes,Yes,Medium,4.0,High,Pass
20.0,M,Graduate,50000.0,B,82.0,Medium,20.0,Business,Public,High,Low,Yes,Low,Low,Low,Positive,Medium,36.0,No,9.0,Balanced,Low,3.0,Yes,Negative,Yes,Yes,Visual,No,No,High,5.0,Medium,Pass
20.0,F,High School,50000.0,C,100.0,Low,12.0,Science,Private,Medium,Medium,Yes,Low,High,High,Positive,High,61.0,No,5.0,Healthy,High,9.0,No,Positive,No,No,Auditory,Yes,No,Medium,4.0,High,Fail
